age,sex,admission_category,province,world_region,speaks_official_language,education_level,family_size,field_of_study,previous_occupation,occupation_category,years_of_experience,teer_category,credential_recognition_status,regulated_profession,employment_probability,employed,employment_category,employment_occupation,employment_sector,occupationally_downgraded,annual_income,months_to_employment,rent_to_income_ratio,housing_affordable,affordability_score
38,M,Family Sponsored,Ontario,East Asia,0,University,4,Communications,Cashier,Sales & Service,10,TEER 4,Partially Recognized,0,0.5596832535299355,1,Sales & Service,Food Service Supervisor,Retail Trade,0,20200.0,7,1.25,0,0.305
25,M,Family Sponsored,Ontario,East Asia,0,Postgraduate,4,Education,Social Worker,"Education, Law & Social Services",1,TEER 1,Not Recognized,1,0.5124665803869963,0,Not Employed,Not Employed,Not Applicable,0,0.0,1,1.75,0,0.205
33,M,Family Sponsored,Ontario,East Asia,1,College,3,Engineering Technology,Truck Driver,"Trades, Transport & Equipment Operators",11,TEER 2,Not Recognized,0,0.5792941926456321,1,Sales & Service,Food Service Supervisor,Accommodation & Food Services,1,20200.0,14,1.25,0,0.313
31,M,Family Sponsored,Ontario,East Asia,0,University,4,Communications,Retail Sales Associate,Sales & Service,7,TEER 4,Partially Recognized,0,0.5498034681201094,0,Not Employed,Not Employed,Not Applicable,0,0.0,12,1.75,0,0.22
38,M,Family Sponsored,Ontario,East Asia,1,University,2,Business Administration,Food Service Supervisor,Sales & Service,7,TEER 4,Fully Recognized,0,0.6294543441184208,1,Sales & Service,Customer Service Representative,Accommodation & Food Services,1,20200.0,2,1.25,0,0.333
36,M,Family Sponsored,Ontario,East Asia,0,University,5,Manufacturing Technology,Production Worker,Manufacturing & Utilities,12,TEER 5,Not Recognized,0,0.5349122603130428,0,Not Employed,Not Employed,Not Applicable,0,0.0,8,1.75,0,0.214
49,M,Family Sponsored,Ontario,East Asia,0,University,3,Psychology,Lawyer,"Education, Law & Social Services",25,TEER 1,Not Assessed,1,0.5349122603130428,0,Not Employed,Not Employed,Not Applicable,0,0.0,10,1.75,0,0.214
32,M,Family Sponsored,Ontario,East Asia,1,University,3,Communications,Cashier,Sales & Service,5,TEER 4,Not Assessed,0,0.6034537350089847,1,Sales & Service,Cashier,Retail Trade,0,20200.0,10,1.25,0,0.322
29,M,Family Sponsored,Ontario,East Asia,0,Postgraduate,4,Information Technology,Data Analyst,Natural & Applied Sciences,0,TEER 1,Partially Recognized,0,0.5473270592736931,1,Manufacturing & Utilities,Machine Operator,Manufacturing,1,20200.0,35,1.25,0,0.3
31,M,Family Sponsored,Ontario,East Asia,1,Postgraduate,3,Economics,Financial Analyst,"Business, Finance & Administration",5,TEER 1,Partially Recognized,0,0.6271189245502449,0,Not Employed,Not Employed,Not Applicable,0,0.0,1,1.75,0,0.251
48,M,Family Sponsored,Ontario,East Asia,1,University,3,Physical Sciences,Civil Engineer,Natural & Applied Sciences,20,TEER 1,Fully Recognized,0,0.6387347143108215,1,Natural & Applied Sciences,Civil Engineer,Manufacturing,0,67000.0,4,0.38,0,0.647
41,M,Family Sponsored,Ontario,East Asia,0,University,2,Fine Arts,Graphic Designer,"Arts, Culture & Recreation",8,TEER 1,Not Recognized,0,0.5249484290304034,1,Sales & Service,Cashier,Retail Trade,1,24000.0,4,1.05,0,0.306
36,M,Family Sponsored,Ontario,East Asia,1,Postgraduate,1,Management,Operations Manager,Management,9,TEER 0,Partially Recognized,0,0.6271189245502449,0,Not Employed,Not Employed,Not Applicable,0,0.0,1,1.75,0,0.251
40,M,Family Sponsored,Ontario,East Asia,0,High School,1,General Studies,Food Service Supervisor,Sales & Service,14,TEER 4,Not Assessed,0,0.4899705101751274,0,Not Employed,Not Employed,Not Applicable,0,0.0,7,1.75,0,0.196
46,M,Family Sponsored,Ontario,East Asia,1,College,3,Skilled Trades,Plumber,"Trades, Transport & Equipment Operators",19,TEER 2,Not Recognized,0,0.5792941926456321,1,Sales & Service,Food Service Supervisor,Retail Trade,1,32100.0,3,0.79,0,0.402
47,M,Family Sponsored,Ontario,East Asia,1,College,2,Health Sciences,Registered Nurse,Health,18,TEER 1,Not Assessed,1,0.5792941926456321,0,Not Employed,Not Employed,Not Applicable,0,0.0,1,1.75,0,0.232
49,M,Family Sponsored,Ontario,East Asia,1,College,1,Business Administration,Retail Sales Associate,Sales & Service,18,TEER 4,Not Recognized,0,0.5792941926456321,0,Not Employed,Not Employed,Not Applicable,0,0.0,14,1.75,0,0.232
34,M,Family Sponsored,Ontario,East Asia,1,High School,2,Skilled Trades,Machine Operator,Manufacturing & Utilities,16,TEER 5,Not Recognized,0,0.5498034681201094,1,Manufacturing & Utilities,Production Worker,Manufacturing,0,20900.0,18,1.21,0,0.304
38,M,Family Sponsored,Ontario,East Asia,1,University,2,Fine Arts,Graphic Designer,"Arts, Culture & Recreation",11,TEER 1,Fully Recognized,0,0.6387347143108215,1,"Arts, Culture & Recreation",Graphic Designer,"Arts, Entertainment & Recreation",0,48600.0,1,0.52,0,0.546
40,M,Family Sponsored,Ontario,East Asia,0,University,3,Engineering Technology,Welder,"Trades, Transport & Equipment Operators",9,TEER 2,Not Recognized,0,0.5249484290304034,1,"Trades, Transport & Equipment Operators",Electrician,Construction,0,32700.0,9,0.77,0,0.387
43,M,Family Sponsored,Ontario,East Asia,1,University,2,Engineering Technology,Welder,"Trades, Transport & Equipment Operators",20,TEER 2,Not Recognized,0,0.6034537350089847,1,Sales & Service,Cashier,Accommodation & Food Services,1,23500.0,26,1.07,0,0.335
35,M,Family Sponsored,Ontario,East Asia,0,College,2,Automotive Technology,Truck Driver,"Trades, Transport & Equipment Operators",9,TEER 2,Not Assessed,0,0.5099678438590336,1,"Trades, Transport & Equipment Operators",Auto Mechanic,Construction,0,33200.0,2,0.76,0,0.385
39,M,Family Sponsored,Ontario,East Asia,0,College,2,Business Administration,Retail Sales Associate,Sales & Service,16,TEER 4,Not Recognized,0,0.5099678438590336,0,Not Employed,Not Employed,Not Applicable,0,0.0,4,1.75,0,0.204
29,M,Family Sponsored,Ontario,East Asia,1,Postgraduate,3,Communications,Customer Service Representative,Sales & Service,0,TEER 4,Not Recognized,0,0.5914291745009289,1,Manufacturing & Utilities,Warehouse Labourer,Manufacturing,1,30700.0,1,0.82,0,0.395
47,M,Family Sponsored,Ontario,East Asia,1,University,2,Engineering Technology,Welder,"Trades, Transport & Equipment Operators",16,TEER 2,Not Recognized,0,0.6034537350089847,0,Not Employed,Not Employed,Not Applicable,0,0.0,9,1.75,0,0.241
36,M,Family Sponsored,Ontario,East Asia,0,Postgraduate,5,Communications,Customer Service Representative,Sales & Service,4,TEER 4,Not Assessed,0,0.5249484290304034,0,Not Employed,Not Employed,Not Applicable,0,0.0,6,1.75,0,0.21
53,M,Family Sponsored,Ontario,East Asia,0,University,4,Psychology,Lawyer,"Education, Law & Social Services",21,TEER 1,Not Recognized,1,0.5249484290304034,0,Not Employed,Not Employed,Not Applicable,0,0.0,4,1.75,0,0.21
34,M,Family Sponsored,Ontario,East Asia,1,Postgraduate,2,Business Administration,Cashier,Sales & Service,9,TEER 4,Not Recognized,0,0.6034537350089847,0,Not Employed,Not Employed,Not Applicable,0,0.0,11,1.75,0,0.241
40,M,Family Sponsored,Ontario,East Asia,0,Postgraduate,5,Engineering,Mechanical Engineer,Natural & Applied Sciences,9,TEER 1,Partially Recognized,0,0.5596832535299355,0,Not Employed,Not Employed,Not Applicable,0,0.0,9,1.75,0,0.224
32,M,Family Sponsored,Ontario,East Asia,1,Postgraduate,4,Information Technology,Data Analyst,Natural & Applied Sciences,2,TEER 1,Not Recognized,0,0.5841605615587884,1,Natural & Applied Sciences,Data Analyst,Information Technology,0,26600.0,8,0.95,0,0.35
36,M,Family Sponsored,Ontario,East Asia,1,Postgraduate,2,Education,Lawyer,"Education, Law & Social Services",7,TEER 1,Partially Recognized,1,0.6177187491049744,1,"Education, Law & Social Services",Teacher,Education Services,0,39400.0,6,0.64,0,0.477
34,M,Family Sponsored,Ontario,East Asia,0,University,2,Media Studies,Graphic Designer,"Arts, Culture & Recreation",8,TEER 1,Not Assessed,0,0.5349122603130428,0,Not Employed,Not Employed,Not Applicable,0,0.0,1,1.75,0,0.214
30,M,Family Sponsored,Ontario,East Asia,1,Postgraduate,2,Communications,Cashier,Sales & Service,2,TEER 4,Partially Recognized,0,0.6082296406020137,0,Not Employed,Not Employed,Not Applicable,0,0.0,4,1.75,0,0.243
32,M,Family Sponsored,Ontario,East Asia,1,College,1,Hospitality Management,Retail Sales Associate,Sales & Service,7,TEER 4,Partially Recognized,0,0.593843354178749,1,Sales & Service,Customer Service Representative,Retail Trade,0,21200.0,1,1.19,0,0.322
53,M,Family Sponsored,Ontario,East Asia,1,College,1,Manufacturing Technology,Warehouse Labourer,Manufacturing & Utilities,22,TEER 5,Partially Recognized,0,0.6034537350089846,1,"Trades, Transport & Equipment Operators",Plumber,Manufacturing,1,23800.0,22,1.06,0,0.337
41,M,Family Sponsored,Ontario,East Asia,1,University,3,Engineering Technology,Truck Driver,"Trades, Transport & Equipment Operators",7,TEER 2,Fully Recognized,0,0.6294543441184208,1,"Trades, Transport & Equipment Operators",Truck Driver,Transportation & Warehousing,0,41400.0,1,0.61,0,0.495
39,M,Family Sponsored,Ontario,East Asia,1,High School,3,General Studies,Cashier,Sales & Service,19,TEER 4,Not Assessed,0,0.5596832535299355,1,Manufacturing & Utilities,Machine Operator,Transportation & Warehousing,1,29700.0,7,0.85,0,0.373
40,M,Family Sponsored,Ontario,East Asia,1,University,3,Business Administration,Cashier,Sales & Service,14,TEER 4,Partially Recognized,0,0.6271189245502449,1,Sales & Service,Cashier,Accommodation & Food Services,0,37500.0,7,0.67,0,0.467
36,M,Family Sponsored,Ontario,East Asia,0,University,3,Communications,Cashier,Sales & Service,8,TEER 4,Partially Recognized,0,0.5498034681201094,1,Sales & Service,Cashier,Accommodation & Food Services,1,32000.0,39,0.79,0,0.39
28,M,Family Sponsored,Ontario,East Asia,0,College,2,Business Administration,Restaurant Manager,Management,8,TEER 0,Partially Recognized,0,0.5324236008637735,0,Not Employed,Not Employed,Not Applicable,0,0.0,14,1.75,0,0.213
24,M,Family Sponsored,Ontario,East Asia,1,High School,1,Skilled Trades,Warehouse Labourer,Manufacturing & Utilities,4,TEER 5,Fully Recognized,0,0.564605971548839,1,Manufacturing & Utilities,Production Worker,Transportation & Warehousing,0,26000.0,4,0.97,0,0.336
31,M,Family Sponsored,Ontario,East Asia,1,University,5,Communications,Photographer,"Arts, Culture & Recreation",7,TEER 1,Not Recognized,0,0.593843354178749,1,"Arts, Culture & Recreation",Graphic Designer,Information & Cultural Industries,0,24100.0,1,1.05,0,0.334
43,M,Family Sponsored,Ontario,East Asia,1,University,1,Pharmacy,Physician,Health,14,TEER 1,Partially Recognized,1,0.6177187491049744,0,Not Employed,Not Employed,Not Applicable,0,0.0,29,1.75,0,0.247
31,M,Family Sponsored,Ontario,East Asia,1,Postgraduate,3,Communications,Customer Service Representative,Sales & Service,7,TEER 4,Fully Recognized,0,0.6387347143108215,0,Not Employed,Not Employed,Not Applicable,0,0.0,25,1.75,0,0.255
41,M,Family Sponsored,Ontario,East Asia,1,Postgraduate,2,Social Work,Early Childhood Educator,"Education, Law & Social Services",10,TEER 1,Not Assessed,1,0.6129849157573811,1,"Education, Law & Social Services",Social Worker,Education Services,0,47300.0,1,0.53,0,0.528
46,M,Family Sponsored,Ontario,East Asia,1,Postgraduate,1,Business Administration,Retail Sales Associate,Sales & Service,11,TEER 4,Partially Recognized,0,0.6364240010147928,1,Sales & Service,Customer Service Representative,Retail Trade,0,38600.0,15,0.65,0,0.479
39,M,Family Sponsored,Ontario,East Asia,1,University,3,Pharmacy,Pharmacist,Health,11,TEER 1,Not Recognized,1,0.593843354178749,1,Health,Physician,Health Care & Social Assistance,0,32500.0,10,0.78,0,0.412
37,M,Family Sponsored,Ontario,East Asia,1,University,2,Communications,Customer Service Representative,Sales & Service,7,TEER 4,Partially Recognized,0,0.6177187491049744,1,Sales & Service,Cashier,Accommodation & Food Services,1,21700.0,1,1.16,0,0.334
41,M,Family Sponsored,Ontario,East Asia,0,High School,2,General Studies,Pharmacist,Health,17,TEER 1,Partially Recognized,1,0.4949693344485832,1,"Trades, Transport & Equipment Operators",Welder,Construction,1,24900.0,10,1.01,0,0.298
40,M,Family Sponsored,Ontario,East Asia,0,University,1,Manufacturing Technology,Production Worker,Manufacturing & Utilities,13,TEER 5,Not Recognized,0,0.5349122603130428,1,"Trades, Transport & Equipment Operators",Electrician,Manufacturing,1,22300.0,1,1.13,0,0.303
43,M,Family Sponsored,Ontario,East Asia,0,University,4,Business Administration,Retail Sales Associate,Sales & Service,14,TEER 4,Not Recognized,0,0.5349122603130428,0,Not Employed,Not Employed,Not Applicable,0,0.0,22,1.75,0,0.214
33,M,Family Sponsored,Ontario,East Asia,0,Postgraduate,2,Business Administration,Cashier,Sales & Service,6,TEER 4,Not Recognized,0,0.5349122603130428,0,Not Employed,Not Employed,Not Applicable,0,0.0,65,1.75,0,0.214
30,M,Family Sponsored,Ontario,East Asia,1,College,4,Community Services,Social Worker,"Education, Law & Social Services",0,TEER 1,Not Assessed,1,0.5498034681201094,0,Not Employed,Not Employed,Not Applicable,0,0.0,54,1.75,0,0.22
46,M,Family Sponsored,Ontario,East Asia,1,University,3,Manufacturing Technology,Assembly Line Worker,Manufacturing & Utilities,14,TEER 5,Partially Recognized,0,0.6271189245502449,1,"Trades, Transport & Equipment Operators",Welder,Construction,1,37300.0,2,0.68,0,0.464
45,M,Family Sponsored,Ontario,East Asia,0,University,3,Health Sciences,Medical Laboratory Technologist,Health,18,TEER 1,Not Assessed,1,0.5349122603130428,1,Sales & Service,Customer Service Representative,Retail Trade,1,20200.0,12,1.25,0,0.295
41,M,Family Sponsored,Ontario,East Asia,1,University,3,Physical Sciences,Data Analyst,Natural & Applied Sciences,13,TEER 1,Partially Recognized,0,0.6271189245502449,1,Natural & Applied Sciences,IT Analyst,Information Technology,0,43000.0,15,0.59,0,0.505
40,M,Family Sponsored,Ontario,East Asia,1,University,3,Engineering Technology,Welder,"Trades, Transport & Equipment Operators",11,TEER 2,Not Recognized,0,0.6034537350089847,0,Not Employed,Not Employed,Not Applicable,0,0.0,21,1.75,0,0.241
35,M,Family Sponsored,Ontario,East Asia,1,College,2,Automotive Technology,Welder,"Trades, Transport & Equipment Operators",8,TEER 2,Partially Recognized,0,0.593843354178749,1,Manufacturing & Utilities,Assembly Line Worker,Manufacturing,1,20200.0,1,1.25,0,0.318
35,M,Family Sponsored,Ontario,East Asia,1,University,1,Law,Early Childhood Educator,"Education, Law & Social Services",8,TEER 1,Partially Recognized,1,0.6082296406020137,1,"Education, Law & Social Services",Paralegal,Public Administration,0,39800.0,4,0.63,0,0.476
31,M,Family Sponsored,Ontario,East Asia,1,University,2,Business Administration,Cashier,Sales & Service,5,TEER 4,Partially Recognized,0,0.6177187491049744,1,Sales & Service,Cashier,Retail Trade,0,23700.0,21,1.06,0,0.342
36,M,Family Sponsored,Ontario,East Asia,1,University,2,Business Administration,Retail Sales Associate,Sales & Service,10,TEER 4,Not Assessed,0,0.6129849157573811,1,Sales & Service,Cashier,Accommodation & Food Services,0,20200.0,11,1.25,0,0.326
31,M,Family Sponsored,Ontario,East Asia,0,University,1,Business Administration,Retail Sales Associate,Sales & Service,6,TEER 4,Partially Recognized,0,0.5498034681201094,0,Not Employed,Not Employed,Not Applicable,0,0.0,4,1.75,0,0.22
38,M,Family Sponsored,Ontario,East Asia,1,Postgraduate,3,Education,Teacher,"Education, Law & Social Services",8,TEER 1,Fully Recognized,1,0.6294543441184208,0,Not Employed,Not Employed,Not Applicable,0,0.0,1,1.75,0,0.252
49,M,Family Sponsored,Ontario,East Asia,1,University,3,Communications,Food Service Supervisor,Sales & Service,14,TEER 4,Partially Recognized,0,0.6271189245502449,1,Sales & Service,Retail Sales Associate,Retail Trade,1,34700.0,6,0.73,0,0.444
37,M,Family Sponsored,Ontario,East Asia,1,University,4,Manufacturing Technology,Production Worker,Manufacturing & Utilities,12,TEER 5,Partially Recognized,0,0.6271189245502449,0,Not Employed,Not Employed,Not Applicable,0,0.0,1,1.75,0,0.251
51,M,Family Sponsored,Ontario,East Asia,0,University,3,Engineering Technology,Welder,"Trades, Transport & Equipment Operators",21,TEER 2,Not Assessed,0,0.5448483053139808,0,Not Employed,Not Employed,Not Applicable,0,0.0,30,1.75,0,0.218
38,M,Family Sponsored,Ontario,East Asia,1,High School,1,Skilled Trades,Machine Operator,Manufacturing & Utilities,14,TEER 5,Not Recognized,0,0.5498034681201094,0,Not Employed,Not Employed,Not Applicable,0,0.0,18,1.75,0,0.22
41,M,Family Sponsored,Ontario,East Asia,1,High School,4,General Studies,Social Worker,"Education, Law & Social Services",18,TEER 1,Partially Recognized,1,0.564605971548839,1,"Education, Law & Social Services",Social Worker,Education Services,0,37600.0,1,0.67,0,0.442
47,M,Family Sponsored,Ontario,East Asia,1,College,3,Accounting,Accountant,"Business, Finance & Administration",19,TEER 1,Not Recognized,0,0.5792941926456321,1,Manufacturing & Utilities,Production Worker,Transportation & Warehousing,1,21500.0,4,1.17,0,0.318
35,M,Family Sponsored,Ontario,East Asia,1,University,2,Law,Teacher,"Education, Law & Social Services",9,TEER 1,Not Recognized,1,0.5841605615587884,0,Not Employed,Not Employed,Not Applicable,0,0.0,29,1.75,0,0.234
29,M,Family Sponsored,Ontario,East Asia,1,University,2,Communications,Retail Sales Associate,Sales & Service,0,TEER 4,Not Recognized,0,0.5817293657118614,1,Sales & Service,Retail Sales Associate,Retail Trade,1,20200.0,18,1.25,0,0.313
42,M,Family Sponsored,Ontario,East Asia,1,High School,2,General Studies,Customer Service Representative,Sales & Service,19,TEER 4,Partially Recognized,0,0.5744123647398421,0,Not Employed,Not Employed,Not Applicable,0,0.0,11,1.75,0,0.23
50,M,Family Sponsored,Ontario,East Asia,0,University,1,Finance,HR Specialist,"Business, Finance & Administration",23,TEER 1,Partially Recognized,0,0.5596832535299355,0,Not Employed,Not Employed,Not Applicable,0,0.0,11,1.75,0,0.224
55,M,Family Sponsored,Ontario,East Asia,1,University,3,Engineering,Software Developer,Natural & Applied Sciences,22,TEER 1,Not Assessed,0,0.6129849157573811,1,Natural & Applied Sciences,Data Analyst,Information Technology,0,42600.0,5,0.59,0,0.498
42,M,Family Sponsored,Ontario,East Asia,1,Postgraduate,1,Communications,Retail Sales Associate,Sales & Service,10,TEER 4,Not Assessed,0,0.6224303451112415,1,Manufacturing & Utilities,Machine Operator,Transportation & Warehousing,1,23900.0,9,1.05,0,0.345
47,M,Family Sponsored,Ontario,East Asia,0,University,4,Business Administration,Food Service Supervisor,Sales & Service,17,TEER 4,Fully Recognized,0,0.5719659366820009,1,Sales & Service,Food Service Supervisor,Retail Trade,0,46400.0,12,0.54,0,0.506
44,M,Family Sponsored,Ontario,East Asia,0,University,3,Accounting,Financial Analyst,"Business, Finance & Administration",16,TEER 1,Not Recognized,0,0.5349122603130428,1,"Trades, Transport & Equipment Operators",Plumber,Manufacturing,1,26300.0,5,0.96,0,0.327
38,M,Family Sponsored,Ontario,East Asia,1,High School,2,General Studies,Data Analyst,Natural & Applied Sciences,18,TEER 1,Partially Recognized,0,0.5744123647398421,0,Not Employed,Not Employed,Not Applicable,0,0.0,4,1.75,0,0.23
36,M,Family Sponsored,Ontario,East Asia,0,University,3,Law,Teacher,"Education, Law & Social Services",8,TEER 1,Partially Recognized,1,0.5398842455980108,1,Sales & Service,Cashier,Accommodation & Food Services,1,20500.0,5,1.23,0,0.298
39,M,Family Sponsored,Ontario,East Asia,1,University,3,Communications,Cashier,Sales & Service,14,TEER 4,Not Recognized,0,0.6034537350089847,1,Sales & Service,Cashier,Retail Trade,0,24300.0,24,1.04,0,0.339
38,M,Family Sponsored,Ontario,East Asia,1,Postgraduate,2,Manufacturing Technology,Machine Operator,Manufacturing & Utilities,7,TEER 5,Not Assessed,0,0.6129849157573811,1,"Trades, Transport & Equipment Operators",Welder,Construction,1,33500.0,10,0.75,0,0.429
46,M,Family Sponsored,Ontario,East Asia,1,College,4,Early Childhood Education,Paralegal,"Education, Law & Social Services",13,TEER 1,Not Recognized,1,0.5695159849279285,0,Not Employed,Not Employed,Not Applicable,0,0.0,12,1.75,0,0.228
42,M,Family Sponsored,Ontario,East Asia,1,Postgraduate,3,Engineering,Software Developer,Natural & Applied Sciences,10,TEER 1,Not Assessed,0,0.6224303451112415,0,Not Employed,Not Employed,Not Applicable,0,0.0,14,1.75,0,0.249
27,M,Family Sponsored,Ontario,East Asia,0,University,4,Nursing,Pharmacist,Health,2,TEER 1,Not Recognized,1,0.5024691446144806,0,Not Employed,Not Employed,Not Applicable,0,0.0,14,1.75,0,0.201
35,M,Family Sponsored,Ontario,East Asia,0,Postgraduate,4,Engineering Technology,Welder,"Trades, Transport & Equipment Operators",6,TEER 2,Not Assessed,0,0.5448483053139808,1,"Trades, Transport & Equipment Operators",Truck Driver,Manufacturing,1,27900.0,5,0.9,0,0.35
39,M,Family Sponsored,Ontario,East Asia,1,High School,3,Skilled Trades,Production Worker,Manufacturing & Utilities,16,TEER 5,Not Assessed,0,0.5596832535299355,1,Manufacturing & Utilities,Warehouse Labourer,Transportation & Warehousing,0,27100.0,24,0.93,0,0.346
49,M,Family Sponsored,Ontario,East Asia,1,High School,4,Skilled Trades,Truck Driver,"Trades, Transport & Equipment Operators",26,TEER 2,Fully Recognized,0,0.5865876686647405,0,Not Employed,Not Employed,Not Applicable,0,0.0,9,1.75,0,0.235
33,M,Family Sponsored,Ontario,East Asia,1,University,3,Communications,Food Service Supervisor,Sales & Service,5,TEER 4,Not Recognized,0,0.593843354178749,1,Sales & Service,Customer Service Representative,Retail Trade,1,20200.0,48,1.25,0,0.318
46,M,Family Sponsored,Ontario,East Asia,0,Postgraduate,3,Business Administration,Cashier,Sales & Service,13,TEER 4,Fully Recognized,0,0.5817293657118614,1,Sales & Service,Cashier,Accommodation & Food Services,0,39200.0,1,0.64,0,0.461
46,M,Family Sponsored,Ontario,East Asia,1,College,3,Hospitality Management,Customer Service Representative,Sales & Service,21,TEER 4,Not Assessed,0,0.5890105762910018,1,Sales & Service,Customer Service Representative,Retail Trade,1,29900.0,7,0.84,0,0.387
34,M,Family Sponsored,Ontario,East Asia,1,University,3,Communications,Cashier,Sales & Service,5,TEER 4,Fully Recognized,0,0.6294543441184208,0,Not Employed,Not Employed,Not Applicable,0,0.0,5,1.75,0,0.252
46,M,Family Sponsored,Ontario,East Asia,1,University,4,Computer Science,Software Developer,Natural & Applied Sciences,16,TEER 1,Not Assessed,0,0.6129849157573811,1,Sales & Service,Food Service Supervisor,Accommodation & Food Services,1,24000.0,7,1.05,0,0.341
40,M,Family Sponsored,Ontario,East Asia,1,University,3,Engineering Technology,Truck Driver,"Trades, Transport & Equipment Operators",13,TEER 2,Partially Recognized,0,0.6271189245502449,1,Sales & Service,Customer Service Representative,Accommodation & Food Services,1,22100.0,1,1.14,0,0.339
39,M,Family Sponsored,Ontario,East Asia,1,University,2,Communications,Cashier,Sales & Service,13,TEER 4,Not Recognized,0,0.6034537350089847,0,Not Employed,Not Employed,Not Applicable,0,0.0,2,1.75,0,0.241
45,M,Family Sponsored,Ontario,East Asia,1,Postgraduate,1,Manufacturing Technology,Warehouse Labourer,Manufacturing & Utilities,16,TEER 5,Not Assessed,0,0.6224303451112415,1,Sales & Service,Customer Service Representative,Retail Trade,1,20200.0,7,1.25,0,0.33
28,M,Family Sponsored,Ontario,East Asia,0,University,3,Manufacturing Technology,Warehouse Labourer,Manufacturing & Utilities,4,TEER 5,Not Assessed,0,0.5224540517500114,0,Not Employed,Not Employed,Not Applicable,0,0.0,31,1.75,0,0.209
41,M,Family Sponsored,Ontario,East Asia,0,High School,2,General Studies,Food Service Supervisor,Sales & Service,16,TEER 4,Partially Recognized,0,0.5049690010905552,0,Not Employed,Not Employed,Not Applicable,0,0.0,23,1.75,0,0.202
37,M,Family Sponsored,Ontario,East Asia,1,Postgraduate,3,Pharmacy,Pharmacist,Health,9,TEER 1,Partially Recognized,1,0.6177187491049744,1,Manufacturing & Utilities,Production Worker,Transportation & Warehousing,1,25100.0,7,1.0,0,0.347
37,M,Family Sponsored,Ontario,East Asia,1,University,5,Business Administration,Customer Service Representative,Sales & Service,10,TEER 4,Not Recognized,0,0.6034537350089847,1,Sales & Service,Food Service Supervisor,Accommodation & Food Services,0,28100.0,2,0.9,0,0.374
25,M,Family Sponsored,Ontario,East Asia,0,University,3,Engineering Technology,Electrician,"Trades, Transport & Equipment Operators",2,TEER 2,Not Recognized,0,0.5124665803869963,1,"Trades, Transport & Equipment Operators",Auto Mechanic,Manufacturing,0,32300.0,27,0.78,0,0.378
36,M,Family Sponsored,Ontario,East Asia,0,College,1,Manufacturing Technology,Production Worker,Manufacturing & Utilities,14,TEER 5,Not Assessed,0,0.5199585540498458,1,Sales & Service,Customer Service Representative,Retail Trade,1,20800.0,14,1.21,0,0.291
53,M,Family Sponsored,Ontario,East Asia,1,Postgraduate,1,Business Administration,Customer Service Representative,Sales & Service,17,TEER 4,Not Recognized,0,0.6129849157573811,1,Sales & Service,Retail Sales Associate,Retail Trade,1,20200.0,11,1.25,0,0.326
53,M,Family Sponsored,Ontario,East Asia,1,University,3,Engineering Technology,Auto Mechanic,"Trades, Transport & Equipment Operators",23,TEER 2,Not Recognized,0,0.6034537350089847,1,Sales & Service,Food Service Supervisor,Retail Trade,1,31100.0,1,0.81,0,0.404
34,M,Family Sponsored,Ontario,East Asia,0,Postgraduate,1,Engineering Technology,Electrician,"Trades, Transport & Equipment Operators",3,TEER 2,Not Recognized,0,0.5149646939838125,0,Not Employed,Not Employed,Not Applicable,0,0.0,3,1.75,0,0.206
37,M,Family Sponsored,Ontario,East Asia,1,High School,3,Skilled Trades,Machine Operator,Manufacturing & Utilities,12,TEER 5,Fully Recognized,0,0.5865876686647405,0,Not Employed,Not Employed,Not Applicable,0,0.0,1,1.75,0,0.235
43,M,Family Sponsored,Ontario,East Asia,0,University,5,Manufacturing Technology,Warehouse Labourer,Manufacturing & Utilities,11,TEER 5,Not Recognized,0,0.5349122603130428,1,Manufacturing & Utilities,Production Worker,Manufacturing,0,20200.0,4,1.25,0,0.295
35,M,Family Sponsored,Ontario,East Asia,0,University,1,Law,Teacher,"Education, Law & Social Services",10,TEER 1,Partially Recognized,1,0.5498034681201094,0,Not Employed,Not Employed,Not Applicable,0,0.0,8,1.75,0,0.22
47,M,Family Sponsored,Ontario,East Asia,1,University,2,Engineering Technology,Plumber,"Trades, Transport & Equipment Operators",15,TEER 2,Not Assessed,0,0.6129849157573811,1,Sales & Service,Cashier,Accommodation & Food Services,1,32700.0,13,0.77,0,0.422
39,M,Family Sponsored,Ontario,East Asia,0,University,2,Manufacturing Technology,Production Worker,Manufacturing & Utilities,13,TEER 5,Partially Recognized,0,0.5596832535299355,1,Manufacturing & Utilities,Machine Operator,Manufacturing,0,30100.0,39,0.84,0,0.376
38,M,Family Sponsored,Ontario,East Asia,0,University,4,Business Administration,Retail Sales Associate,Sales & Service,11,TEER 4,Not Assessed,0,0.5448483053139808,1,Sales & Service,Customer Service Representative,Accommodation & Food Services,0,28300.0,26,0.89,0,0.353
35,M,Family Sponsored,Ontario,East Asia,0,Postgraduate,2,Business Administration,Bookkeeper,"Business, Finance & Administration",7,TEER 1,Partially Recognized,0,0.5596832535299355,0,Not Employed,Not Employed,Not Applicable,0,0.0,4,1.75,0,0.224
34,M,Family Sponsored,Ontario,East Asia,1,University,2,Business Administration,Customer Service Representative,Sales & Service,10,TEER 4,Partially Recognized,0,0.6271189245502449,0,Not Employed,Not Employed,Not Applicable,0,0.0,8,1.75,0,0.251
